oid,classALeRCE
sim_CV_Nova_00931,CV_Nova
sim_SNII_00605,SNII
sim_QSO_00835,QSO
sim_AGN_00263,AGN
sim_SLSN_00827,SLSN
sim_SNII_00915,SNII
sim_SNIbc_00690,SNIbc
sim_CV_Nova_00441,CV_Nova
sim_Blazar_00935,Blazar
sim_RRL_00881,RRL
sim_E_00004,E
sim_AGN_00446,AGN
sim_CEP_00646,CEP
sim_E_00555,E
sim_E_00488,E
sim_RRL_00354,RRL
sim_RRL_00590,RRL
sim_Periodic-Other_00162,Periodic-Other
sim_AGN_00462,AGN
sim_DSCT_00041,DSCT
sim_RRL_00281,RRL
sim_Blazar_00251,Blazar
sim_E_00716,E
sim_QSO_00395,QSO
sim_SNII_00507,SNII
sim_DSCT_00548,DSCT
sim_CEP_00572,CEP
sim_DSCT_00970,DSCT
sim_DSCT_00878,DSCT
sim_CV_Nova_00126,CV_Nova
sim_RRL_00954,RRL
sim_QSO_00150,QSO
sim_DSCT_00966,DSCT
sim_QSO_00997,QSO
sim_DSCT_00748,DSCT
sim_SNIbc_00623,SNIbc
sim_LPV_00047,LPV
sim_LPV_00288,LPV
sim_Periodic-Other_00702,Periodic-Other
sim_AGN_00232,AGN
sim_RRL_00614,RRL
sim_E_00893,E
sim_YSO_00363,YSO
sim_QSO_00448,QSO
sim_YSO_00967,YSO
sim_Blazar_00912,Blazar
sim_QSO_00083,QSO
sim_QSO_00089,QSO
sim_DSCT_00672,DSCT
sim_LPV_00384,LPV
sim_AGN_00455,AGN
sim_SLSN_00983,SLSN
sim_YSO_00579,YSO
sim_QSO_00127,QSO
sim_DSCT_00896,DSCT
sim_QSO_00391,QSO
sim_DSCT_00759,DSCT
sim_AGN_00989,AGN
sim_SNII_00617,SNII
sim_YSO_00383,YSO
sim_E_00975,E
sim_SNIbc_00792,SNIbc
sim_YSO_00959,YSO
sim_CV_Nova_00031,CV_Nova
sim_RRL_00639,RRL
sim_RRL_00652,RRL
sim_CV_Nova_00470,CV_Nova
sim_Periodic-Other_00614,Periodic-Other
sim_Blazar_00779,Blazar
sim_Blazar_00414,Blazar
sim_LPV_00868,LPV
sim_AGN_00798,AGN
sim_AGN_00917,AGN
sim_SLSN_00537,SLSN
sim_RRL_00149,RRL
sim_SLSN_00939,SLSN
sim_YSO_00267,YSO
sim_LPV_00169,LPV
sim_SLSN_00263,SLSN
sim_Blazar_00497,Blazar
sim_E_00322,E
sim_Periodic-Other_00445,Periodic-Other
sim_E_00595,E
sim_SNIbc_00844,SNIbc
sim_Periodic-Other_00841,Periodic-Other
sim_CEP_00999,CEP
sim_CV_Nova_00234,CV_Nova
sim_YSO_00317,YSO
sim_AGN_00673,AGN
sim_CV_Nova_00207,CV_Nova
sim_CEP_00257,CEP
sim_Periodic-Other_00917,Periodic-Other
sim_E_00482,E
sim_DSCT_00044,DSCT
sim_DSCT_00450,DSCT
sim_AGN_00157,AGN
sim_AGN_00950,AGN
sim_CV_Nova_00415,CV_Nova
sim_E_00145,E
sim_SLSN_00425,SLSN
sim_QSO_00704,QSO
sim_RRL_00200,RRL
sim_YSO_00458,YSO
sim_SNIa_00548,SNIa
sim_CV_Nova_00011,CV_Nova
sim_CEP_00490,CEP
sim_SNIa_00439,SNIa
sim_SNII_00521,SNII
sim_SNII_00701,SNII
sim_CV_Nova_00293,CV_Nova
sim_LPV_00184,LPV
sim_SLSN_00036,SLSN
sim_CEP_00558,CEP
sim_CV_Nova_00519,CV_Nova
sim_AGN_00435,AGN
sim_CEP_00634,CEP
sim_YSO_00475,YSO
sim_Periodic-Other_00428,Periodic-Other
sim_Blazar_00828,Blazar
sim_QSO_00971,QSO
sim_LPV_00159,LPV
sim_Periodic-Other_00539,Periodic-Other
sim_RRL_00003,RRL
sim_SLSN_00231,SLSN
sim_LPV_00088,LPV
sim_E_00294,E
sim_LPV_00389,LPV
sim_SNII_00258,SNII
sim_Blazar_00044,Blazar
sim_QSO_00401,QSO
sim_CEP_00934,CEP
sim_SLSN_00155,SLSN
sim_SLSN_00355,SLSN
sim_YSO_00078,YSO
sim_E_00778,E
sim_LPV_00140,LPV
sim_CV_Nova_00526,CV_Nova
sim_QSO_00107,QSO
sim_SNIa_00579,SNIa
sim_SNIbc_00515,SNIbc
sim_SNIa_00802,SNIa
sim_Blazar_00015,Blazar
sim_SNII_00303,SNII
sim_LPV_00992,LPV
sim_Periodic-Other_00550,Periodic-Other
sim_SLSN_00360,SLSN
sim_SNIa_00279,SNIa
sim_LPV_00039,LPV
sim_Blazar_00090,Blazar
sim_SLSN_00027,SLSN
sim_Periodic-Other_00175,Periodic-Other
sim_Periodic-Other_00889,Periodic-Other
sim_CV_Nova_00407,CV_Nova
sim_SNII_00603,SNII
sim_LPV_00425,LPV
sim_E_00599,E
sim_RRL_00002,RRL
sim_Periodic-Other_00154,Periodic-Other
sim_SNIa_00912,SNIa
sim_DSCT_00564,DSCT
sim_QSO_00647,QSO
sim_YSO_00187,YSO
sim_SLSN_00281,SLSN
sim_QSO_00667,QSO
sim_AGN_00301,AGN
sim_CEP_00904,CEP
sim_CV_Nova_00687,CV_Nova
sim_CV_Nova_00305,CV_Nova
sim_CEP_00796,CEP
sim_SLSN_00519,SLSN
sim_CEP_00119,CEP
sim_RRL_00526,RRL
sim_CEP_00473,CEP
sim_CEP_00809,CEP
sim_Blazar_00184,Blazar
sim_Periodic-Other_00683,Periodic-Other
sim_AGN_00538,AGN
sim_SNIa_00379,SNIa
sim_AGN_00423,AGN
sim_DSCT_00616,DSCT
sim_Periodic-Other_00420,Periodic-Other
sim_CV_Nova_00063,CV_Nova
sim_Periodic-Other_00219,Periodic-Other
sim_LPV_00364,LPV
sim_YSO_00656,YSO
sim_CEP_00495,CEP
sim_E_00153,E
sim_CEP_00140,CEP
sim_CEP_00631,CEP
sim_AGN_00779,AGN
sim_CV_Nova_00223,CV_Nova
sim_CV_Nova_00847,CV_Nova
sim_LPV_00262,LPV
sim_E_00469,E
sim_Periodic-Other_00847,Periodic-Other
sim_DSCT_00152,DSCT
sim_SNII_00033,SNII
sim_SNII_00686,SNII
sim_Blazar_00355,Blazar
sim_AGN_00535,AGN
sim_CEP_00462,CEP
sim_Periodic-Other_00788,Periodic-Other
sim_CEP_00464,CEP
sim_YSO_00587,YSO
sim_Blazar_00896,Blazar
sim_SNIbc_00780,SNIbc
sim_LPV_00044,LPV
sim_QSO_00185,QSO
sim_SLSN_00966,SLSN
sim_LPV_00219,LPV
sim_CV_Nova_00537,CV_Nova
sim_RRL_00010,RRL
sim_SNIa_00922,SNIa
sim_AGN_00697,AGN
sim_SNIbc_00538,SNIbc
sim_CEP_00779,CEP
sim_SNIbc_00566,SNIbc
sim_SLSN_00841,SLSN
sim_CEP_00190,CEP
sim_E_00540,E
sim_SLSN_00108,SLSN
sim_CV_Nova_00836,CV_Nova
sim_Periodic-Other_00537,Periodic-Other
sim_SNIa_00520,SNIa
sim_SNIbc_00370,SNIbc
sim_YSO_00057,YSO
sim_CEP_00966,CEP
sim_E_00518,E
sim_SNIbc_00446,SNIbc
sim_LPV_00051,LPV
sim_SNII_00839,SNII
sim_Blazar_00436,Blazar
sim_LPV_00147,LPV
sim_Blazar_00568,Blazar
sim_SNIa_00386,SNIa
sim_Periodic-Other_00960,Periodic-Other
sim_AGN_00974,AGN
sim_CEP_00241,CEP
sim_LPV_00079,LPV
sim_SNII_00602,SNII
sim_SLSN_00351,SLSN
sim_SNIa_00288,SNIa
sim_Periodic-Other_00171,Periodic-Other
sim_AGN_00900,AGN
sim_DSCT_00363,DSCT
sim_AGN_00716,AGN
sim_AGN_00066,AGN
sim_SNII_00784,SNII
sim_YSO_00198,YSO
sim_E_00252,E
sim_SNII_00496,SNII
sim_SNIbc_00913,SNIbc
sim_RRL_00816,RRL
sim_CEP_00855,CEP
sim_SLSN_00369,SLSN
sim_Periodic-Other_00496,Periodic-Other
sim_Periodic-Other_00541,Periodic-Other
sim_SNII_00115,SNII
sim_Periodic-Other_00240,Periodic-Other
sim_SNIa_00498,SNIa
sim_LPV_00537,LPV
sim_YSO_00381,YSO
sim_LPV_00632,LPV
sim_CV_Nova_00945,CV_Nova
sim_Blazar_00829,Blazar
sim_AGN_00005,AGN
sim_SNIbc_00558,SNIbc
sim_Blazar_00830,Blazar
sim_YSO_00798,YSO
sim_LPV_00697,LPV
sim_CEP_00965,CEP
sim_SNIbc_00696,SNIbc
sim_AGN_00872,AGN
sim_SNII_00909,SNII
sim_CV_Nova_00032,CV_Nova
sim_E_00672,E
sim_SNIa_00969,SNIa
sim_E_00591,E
sim_CV_Nova_00987,CV_Nova
sim_SNIa_00217,SNIa
sim_CEP_00323,CEP
sim_DSCT_00022,DSCT
sim_E_00842,E
sim_E_00751,E
sim_SLSN_00093,SLSN
sim_DSCT_00716,DSCT
sim_CV_Nova_00065,CV_Nova
sim_SNII_00587,SNII
sim_QSO_00372,QSO
sim_Blazar_00620,Blazar
sim_SNIa_00507,SNIa
sim_SLSN_00860,SLSN
sim_SNIbc_00124,SNIbc
sim_SNIa_00989,SNIa
sim_CV_Nova_00177,CV_Nova
sim_QSO_00631,QSO
sim_DSCT_00836,DSCT
sim_RRL_00869,RRL
sim_E_00783,E
sim_SNIa_00836,SNIa
sim_CEP_00331,CEP
sim_E_00990,E
sim_DSCT_00962,DSCT
sim_LPV_00638,LPV
sim_AGN_00747,AGN
sim_Blazar_00425,Blazar
sim_Blazar_00415,Blazar
sim_SLSN_00213,SLSN
sim_Blazar_00094,Blazar
sim_AGN_00220,AGN
sim_Periodic-Other_00348,Periodic-Other
sim_LPV_00313,LPV
sim_SNIbc_00269,SNIbc
sim_Periodic-Other_00777,Periodic-Other
sim_SNIa_00631,SNIa
sim_LPV_00815,LPV
sim_SNIbc_00208,SNIbc
sim_SNII_00093,SNII
sim_SLSN_00823,SLSN
sim_LPV_00768,LPV
sim_YSO_00611,YSO
sim_SNII_00710,SNII
sim_SNIa_00393,SNIa
sim_RRL_00554,RRL
sim_Periodic-Other_00903,Periodic-Other
sim_E_00790,E
sim_CV_Nova_00077,CV_Nova
sim_SLSN_00674,SLSN
sim_SNIbc_00022,SNIbc
sim_SLSN_00981,SLSN
sim_YSO_00889,YSO
sim_SNIa_00663,SNIa
sim_DSCT_00364,DSCT
sim_SNIbc_00057,SNIbc
sim_QSO_00100,QSO
sim_LPV_00556,LPV
sim_Blazar_00539,Blazar
sim_SNIa_00831,SNIa
sim_SNIbc_00019,SNIbc
sim_AGN_00887,AGN
sim_AGN_00013,AGN
sim_YSO_00984,YSO
sim_SNIa_00998,SNIa
sim_LPV_00225,LPV
sim_SNIbc_00541,SNIbc
sim_SNIbc_00449,SNIbc
sim_QSO_00425,QSO
sim_CEP_00283,CEP
sim_E_00780,E
sim_RRL_00393,RRL
sim_DSCT_00189,DSCT
sim_CV_Nova_00366,CV_Nova
sim_Blazar_00738,Blazar
sim_YSO_00434,YSO
sim_DSCT_00092,DSCT
sim_SNIa_00020,SNIa
sim_SNIbc_00215,SNIbc
sim_AGN_00418,AGN
sim_DSCT_00507,DSCT
sim_QSO_00323,QSO
sim_SNIa_00323,SNIa
sim_RRL_00769,RRL
sim_AGN_00421,AGN
sim_Blazar_00708,Blazar
sim_Blazar_00946,Blazar
sim_QSO_00451,QSO
sim_AGN_00675,AGN
sim_LPV_00300,LPV
sim_SNIbc_00001,SNIbc
sim_CV_Nova_00985,CV_Nova
sim_DSCT_00786,DSCT
sim_SLSN_00703,SLSN
sim_CV_Nova_00746,CV_Nova
sim_SNIa_00320,SNIa
sim_YSO_00210,YSO
sim_DSCT_00124,DSCT
sim_QSO_00925,QSO
sim_DSCT_00345,DSCT
sim_CEP_00353,CEP
sim_AGN_00554,AGN
sim_CEP_00404,CEP
sim_CV_Nova_00169,CV_Nova
sim_SNIbc_00930,SNIbc
sim_CEP_00949,CEP
sim_CV_Nova_00326,CV_Nova
sim_YSO_00274,YSO
sim_CV_Nova_00904,CV_Nova
sim_CV_Nova_00494,CV_Nova
sim_SLSN_00286,SLSN
sim_CV_Nova_00005,CV_Nova
sim_CEP_00816,CEP
sim_Blazar_00437,Blazar
sim_RRL_00251,RRL
sim_DSCT_00207,DSCT
sim_DSCT_00237,DSCT
sim_CEP_00748,CEP
sim_CEP_00893,CEP
sim_SNIa_00944,SNIa
sim_DSCT_00082,DSCT
sim_Periodic-Other_00038,Periodic-Other
sim_CEP_00180,CEP
sim_YSO_00971,YSO
sim_SNIa_00342,SNIa
sim_DSCT_00368,DSCT
sim_Periodic-Other_00345,Periodic-Other
sim_LPV_00587,LPV
sim_CEP_00603,CEP
sim_Periodic-Other_00562,Periodic-Other
sim_YSO_00413,YSO
sim_E_00600,E
sim_E_00376,E
sim_DSCT_00039,DSCT
sim_QSO_00260,QSO
sim_AGN_00546,AGN
sim_SNIa_00996,SNIa
sim_SNIa_00827,SNIa
sim_DSCT_00723,DSCT
sim_SNIa_00919,SNIa
sim_AGN_00016,AGN
sim_RRL_00209,RRL
sim_SNIa_00680,SNIa
sim_LPV_00153,LPV
sim_SNIa_00667,SNIa
sim_YSO_00401,YSO
sim_Periodic-Other_00837,Periodic-Other
sim_SLSN_00218,SLSN
sim_DSCT_00829,DSCT
sim_SNIbc_00882,SNIbc
sim_QSO_00256,QSO
sim_CEP_00856,CEP
sim_RRL_00504,RRL
sim_RRL_00189,RRL
sim_DSCT_00831,DSCT
sim_SNIa_00078,SNIa
sim_SNII_00538,SNII
sim_SNII_00535,SNII
sim_SLSN_00547,SLSN
sim_RRL_00043,RRL
sim_CV_Nova_00195,CV_Nova
sim_AGN_00192,AGN
sim_SNIa_00890,SNIa
sim_QSO_00477,QSO
sim_E_00355,E
sim_YSO_00816,YSO
sim_SNII_00651,SNII
sim_DSCT_00957,DSCT
sim_SNIbc_00355,SNIbc
sim_Blazar_00806,Blazar
sim_Blazar_00762,Blazar
sim_DSCT_00949,DSCT
sim_YSO_00786,YSO
sim_SNII_00029,SNII
sim_CV_Nova_00370,CV_Nova
sim_SLSN_00284,SLSN
sim_CEP_00957,CEP
sim_SLSN_00586,SLSN
sim_CV_Nova_00993,CV_Nova
sim_DSCT_00374,DSCT
sim_SNIbc_00761,SNIbc
sim_LPV_00292,LPV
sim_QSO_00014,QSO
sim_QSO_00687,QSO
sim_CEP_00645,CEP
sim_SNIa_00946,SNIa
sim_QSO_00413,QSO
sim_CV_Nova_00882,CV_Nova
sim_CV_Nova_00895,CV_Nova
sim_SNII_00660,SNII
sim_QSO_00255,QSO
sim_Blazar_00443,Blazar
sim_AGN_00581,AGN
sim_SNII_00808,SNII
sim_YSO_00986,YSO
sim_Periodic-Other_00363,Periodic-Other
sim_SNIa_00336,SNIa
sim_LPV_00104,LPV
sim_YSO_00793,YSO
sim_SLSN_00517,SLSN
sim_SNIbc_00312,SNIbc
sim_Periodic-Other_00564,Periodic-Other
sim_YSO_00470,YSO
sim_RRL_00771,RRL
sim_Periodic-Other_00230,Periodic-Other
sim_SLSN_00416,SLSN
sim_SLSN_00090,SLSN
sim_CV_Nova_00202,CV_Nova
sim_RRL_00992,RRL
sim_Periodic-Other_00035,Periodic-Other
sim_YSO_00060,YSO
sim_RRL_00692,RRL
sim_SLSN_00334,SLSN
sim_Periodic-Other_00469,Periodic-Other
sim_Periodic-Other_00250,Periodic-Other
sim_SNIbc_00997,SNIbc
sim_Periodic-Other_00502,Periodic-Other
sim_Periodic-Other_00677,Periodic-Other
sim_SLSN_00363,SLSN
sim_RRL_00821,RRL
sim_RRL_00140,RRL
sim_SNIbc_00750,SNIbc
sim_QSO_00517,QSO
sim_Periodic-Other_00746,Periodic-Other
sim_RRL_00342,RRL
sim_CEP_00099,CEP
sim_CEP_00559,CEP
sim_AGN_00222,AGN
sim_DSCT_00107,DSCT
sim_SNII_00885,SNII
sim_YSO_00181,YSO
sim_SNII_00368,SNII
sim_CV_Nova_00108,CV_Nova
sim_DSCT_00387,DSCT
sim_CV_Nova_00087,CV_Nova
sim_LPV_00426,LPV
sim_RRL_00603,RRL
sim_Blazar_00787,Blazar
sim_SNIa_00527,SNIa
sim_QSO_00407,QSO
sim_E_00028,E
sim_SNII_00541,SNII
sim_Periodic-Other_00529,Periodic-Other
sim_SNII_00791,SNII
sim_YSO_00655,YSO
sim_DSCT_00129,DSCT
sim_CV_Nova_00391,CV_Nova
sim_CV_Nova_00520,CV_Nova
sim_LPV_00661,LPV
sim_Blazar_00305,Blazar
sim_CEP_00780,CEP
sim_SLSN_00709,SLSN
sim_CV_Nova_00778,CV_Nova
sim_Blazar_00950,Blazar
sim_Periodic-Other_00843,Periodic-Other
sim_AGN_00870,AGN
sim_YSO_00995,YSO
sim_E_00994,E
sim_SNII_00944,SNII
sim_SLSN_00007,SLSN
sim_E_00103,E
sim_Blazar_00363,Blazar
sim_SNII_00202,SNII
sim_Periodic-Other_00158,Periodic-Other
sim_LPV_00910,LPV
sim_CV_Nova_00215,CV_Nova
sim_DSCT_00684,DSCT
sim_Blazar_00391,Blazar
sim_AGN_00198,AGN
sim_SNIa_00199,SNIa
sim_SNIa_00819,SNIa
sim_SNII_00141,SNII
sim_YSO_00422,YSO
sim_SNIa_00648,SNIa
sim_LPV_00675,LPV
sim_YSO_00103,YSO
sim_LPV_00034,LPV
sim_SNII_00369,SNII
sim_CEP_00503,CEP
sim_YSO_00420,YSO
sim_E_00517,E
sim_LPV_00045,LPV
sim_E_00277,E
sim_SNIa_00201,SNIa
sim_SNIbc_00414,SNIbc
sim_YSO_00304,YSO
sim_SNIa_00772,SNIa
sim_DSCT_00389,DSCT
sim_RRL_00475,RRL
sim_SNII_00479,SNII
sim_SNII_00095,SNII
sim_CEP_00776,CEP
sim_CEP_00068,CEP
sim_Blazar_00880,Blazar
sim_SNII_00378,SNII
sim_SLSN_00929,SLSN
sim_AGN_00087,AGN
sim_Blazar_00388,Blazar
sim_Periodic-Other_00565,Periodic-Other
sim_YSO_00016,YSO
sim_E_00719,E
sim_LPV_00285,LPV
sim_CEP_00861,CEP
sim_SNII_00472,SNII
sim_YSO_00053,YSO
sim_AGN_00442,AGN
sim_DSCT_00367,DSCT
sim_QSO_00091,QSO
sim_E_00638,E
sim_SNIa_00176,SNIa
sim_CEP_00834,CEP
sim_SNIbc_00291,SNIbc
sim_SNIbc_00796,SNIbc
sim_CV_Nova_00040,CV_Nova
sim_QSO_00259,QSO
sim_E_00811,E
sim_Periodic-Other_00306,Periodic-Other
sim_LPV_00054,LPV
sim_CEP_00304,CEP
sim_Periodic-Other_00637,Periodic-Other
sim_LPV_00683,LPV
sim_QSO_00152,QSO
sim_SNIbc_00345,SNIbc
sim_Periodic-Other_00646,Periodic-Other
sim_E_00757,E
sim_LPV_00911,LPV
sim_LPV_00839,LPV
sim_CV_Nova_00320,CV_Nova
sim_RRL_00464,RRL
sim_Blazar_00752,Blazar
sim_QSO_00651,QSO
sim_Periodic-Other_00555,Periodic-Other
sim_SNIbc_00423,SNIbc
sim_LPV_00723,LPV
sim_CV_Nova_00156,CV_Nova
sim_SNII_00501,SNII
sim_Periodic-Other_00041,Periodic-Other
sim_RRL_00912,RRL
sim_RRL_00678,RRL
sim_YSO_00946,YSO
sim_RRL_00123,RRL
sim_Blazar_00842,Blazar
sim_YSO_00905,YSO
sim_RRL_00596,RRL
sim_Blazar_00211,Blazar
sim_AGN_00704,AGN
sim_LPV_00000,LPV
sim_SLSN_00266,SLSN
sim_YSO_00102,YSO
