oid,ra,dec,label_tns,tns_type_raw,label_simbad,simbad_otype,label_milliquas,milliquas_type,label_vsx,vsx_type,classALeRCE,label_source,label_conflict,all_labels,transient_vsx_flag,oid_combined
ZTF20acxzjqr,150.2766153719213,3.052760805996034,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028500588167286_ZTF20acxzjqr
ZTF23abttyqw,150.3096202689603,2.3992253629154985,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028500588691608_ZTF23abttyqw
ZTF21aaipmyx,150.20855004000015,3.4309410400000004,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500590264441_ZTF21aaipmyx
ZTF21aabxoar,150.63540967076477,3.5688538939585333,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028500594458759_ZTF21aabxoar
ZTF25aadyggr,149.812749525727,0.9982115565121511,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500596031610_ZTF25aadyggr
ZTF24absibin,149.88164753974675,0.9386023800396428,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500596031616_ZTF24absibin
ZTF21aafjmyk,150.07745561520267,1.251684892666267,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500600225963_ZTF21aafjmyk
ZTF25aadwirt,150.08556801428728,1.0865581,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500601274484_ZTF25aadwirt
ZTF19acvtsim,150.23556459356055,1.2218836530886517,,,QSO,Sy1,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500601798711_ZTF19acvtsim
ZTF24absiblc,150.37366487188953,2.1120485669851066,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028500605468812_ZTF24absiblc
ZTF24ablmzkk,150.74612797794023,2.3365026156728734,SNIa,SN Ia,,,,,,,SNIa,TNS,False,SNIa,False,170028500610711681_ZTF24ablmzkk
ZTF19acmvtbz,150.620914438588,1.1495764284210412,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500619100295_ZTF19acmvtbz
ZTF24absiblg,150.9947795182572,1.753802993538689,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500623818873_ZTF24absiblg
ZTF24aanjikk,151.08759613144807,1.6132261973784758,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028500625391725_ZTF24aanjikk
ZTF22abtbonr,149.47543033420598,2.918943577098314,,,QSO,QSO,QSO,QRX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510489870462_ZTF22abtbonr
ZTF21aactrmz,149.8680517335087,2.3306718506328727,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510513463439_ZTF21aactrmz
ZTF22aaiaeir,150.71517366595828,2.4848486975826463,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510521852046_ZTF22aaiaeir
ZTF19adajkax,151.09785754915256,3.1163663322033894,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510524997740_ZTF19adajkax
ZTF21aabxntq,151.30728036224178,2.7528888368802513,,,QSO,QSO,QSO,QR,,,QSO,SIMBAD,False,QSO|QSO,False,170028510526046347_ZTF21aabxntq
ZTF21aafjmyc,149.99155862561366,1.7242449564198932,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510536532098_ZTF21aafjmyc
ZTF24aabcdtj,150.91334320017168,2.3490589002344575,,,E,RR*,,,E,EW,E,SIMBAD,False,E|E,False,170028510542299190_ZTF24aabcdtj
ZTF20aagwxyi,150.8496653064882,1.917692324438213,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510543347881_ZTF20aagwxyi
ZTF22abtbpdp,151.39348375000029,2.171158945979648,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510549115004_ZTF22abtbpdp
ZTF20aagwxfq,149.94501906008924,0.8218232565082562,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510551212165_ZTF20aagwxfq
ZTF19adcdtgc,150.33212112193675,1.0838541458777142,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510555406485_ZTF19adcdtgc
ZTF19acoyqtg,150.8796912386182,3.5772168859024793,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510633525375_ZTF19acoyqtg
ZTF20acxzjzp,151.30916709999997,3.2909037333333333,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510637195404_ZTF20acxzjzp
ZTF20acymahl,149.85190312075258,1.998358223914927,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510647156885_ZTF20acymahl
ZTF20acyxqdx,151.34723454999425,2.76004105,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510658691176_ZTF20acyxqdx
ZTF21aaotavt,151.3813254331972,1.1558662233928805,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510694342861_ZTF21aaotavt
ZTF25aasauts,151.5926167,1.1583849,SNIa,SN Ia,,,,,,,SNIa,TNS,False,SNIa,False,170028510695916335_ZTF25aasauts
ZTF19aatjrpn,148.59272050517444,1.7885926600399802,,,E,EB*,,,,,E,SIMBAD,False,E,False,170028510750441492_ZTF19aatjrpn
ZTF24aabmhic,149.78617318372903,2.9066998028403757,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510758830213_ZTF24aabmhic
ZTF20acymaiu,149.46789933063124,2.3391238001339865,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510759354480_ZTF20acymaiu
ZTF24aabmfhe,149.45832176532375,1.5650677882395347,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510778753136_ZTF24aabmfhe
ZTF20acpzeyf,150.98832710032536,2.4441412437395105,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510790287439_ZTF20acpzeyf
ZTF24aabmcdj,151.46758249778787,2.984011437931762,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510795006087_ZTF24aabmcdj
ZTF25aaeakmg,148.84855313999984,1.81231004,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028510907203724_ZTF25aaeakmg
ZTF19aamgnns,150.52932033677735,3.057678993972977,,,AGN,Sy2,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170028510922408006_ZTF19aamgnns
ZTF20aaicidh,150.7820815014059,3.71190273633007,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028510925554093_ZTF20aaicidh
ZTF22abtbonn,149.6792051352357,3.313820234418457,,,AGN,AGN,AGN,A,,,AGN,SIMBAD,False,AGN|AGN,False,170028511030935679_ZTF22abtbonn
ZTF19acmxncj,150.02824222227468,3.767774466338816,,,AGN,Sy1,AGN,A,,,AGN,SIMBAD,False,AGN|AGN,False,170028511166201992_ZTF19acmxncj
ZTF21abdaqar,151.10214611475962,3.4465371186286147,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028511195562026_ZTF21abdaqar
ZTF17aaapfzh,151.6928570156453,1.8323372905878483,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028511898632325_ZTF17aaapfzh
ZTF23aaayeyd,149.59178020353136,1.1350923073733898,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028512366297114_ZTF23aaayeyd
ZTF21aakpmaz,150.05864509781568,2.4775378528386214,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028512399851695_ZTF21aakpmaz
ZTF21aagxmcx,149.27790624999784,3.4447876999999996,,,E,EB*,,,E,EA,E,SIMBAD,False,E|E,False,170028512402473130_ZTF21aagxmcx
ZTF20aadajwj,150.39358990268954,3.2725076619859825,,,QSO,QSO,,,,,QSO,SIMBAD,False,QSO,False,170028512426590281_ZTF20aadajwj
ZTF20aalqofx,150.47727373333333,0.7571920222222223,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028512566050823_ZTF20aalqofx
ZTF20aapzitt,151.3969702916142,1.5794434624346039,,,QSO,QSO,QSO,QR,,,QSO,SIMBAD,False,QSO|QSO,False,170028512703938584_ZTF20aapzitt
ZTF17aaanrwu,150.6148550999464,3.839203308057447,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028513073561804_ZTF17aaanrwu
ZTF21aaichqr,150.0904365909091,3.854585172727272,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028513476215519_ZTF21aaichqr
ZTF25aadqjby,151.43467391598864,3.151417686618013,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028516870979606_ZTF25aadqjby
ZTF20aadakcv,149.07091100923572,2.4838122004881167,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028520410447938_ZTF20aadakcv
ZTF23absqpuw,185.38856174956865,8.032248924461863,,,QSO,QSO,QSO,QR,,,QSO,SIMBAD,False,QSO|QSO,False,170028526449197093_ZTF23absqpuw
ZTF17aabxisy,185.4281322954416,8.182337558249502,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526449721369_ZTF17aabxisy
ZTF23aakxijc,185.62203863713685,8.116748137409509,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028526451294221_ZTF23aakxijc
ZTF19aaapujo,185.7941077399304,6.7652626826855125,,,AGN,Sy1,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170028526464401600_ZTF19aaapujo
ZTF18aavrpmx,186.22541405363344,7.749009800969886,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526470168653_ZTF18aavrpmx
ZTF18aahvdop,186.48976045668007,8.035766795863381,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526474363023_ZTF18aahvdop
ZTF18acvgvng,186.09923233660547,6.787289133347856,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028526485373064_ZTF18acvgvng
ZTF18aaryvxo,186.26405091923206,6.541790554236064,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526486945938_ZTF18aaryvxo
ZTF18aaphztd,186.77352563065347,8.092061373836499,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028526494810212_ZTF18aaphztd
ZTF18acvwljy,187.02302130528145,6.282076285910238,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526512111705_ZTF18acvwljy
ZTF23aajltpr,187.72266935103676,6.86466058664937,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526533083171_ZTF23aajltpr
ZTF17aabxpbq,187.636372592444,6.363877626887613,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526533607595_ZTF17aabxpbq
ZTF18aacbogt,186.09128802429547,8.696471090628455,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526583939107_ZTF18aacbogt
ZTF19aankfuy,186.0035807275546,8.746315218454857,,,QSO,Sy1,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526583939165_ZTF19aankfuy
ZTF19acmzbjs,185.79440290955645,8.145304494881398,,,AGN,Sy1,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170028526584463489_ZTF19acmzbjs
ZTF18aabpphk,186.18906967277078,8.552514719971313,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526585511946_ZTF18aabpphk
ZTF23aajlrkr,185.41341137709,7.0534155387639075,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526594949344_ZTF23aajlrkr
ZTF23abwlslc,186.58489397991562,7.879138530828052,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526604386390_ZTF23abwlslc
ZTF18aavmsny,185.67895728651794,6.870696855048494,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526620639344_ZTF18aavmsny
ZTF18acvwlqq,186.38016090941522,7.264802275718527,,,QSO,QSO,QSO,QR2X,,,QSO,SIMBAD,False,QSO|QSO,False,170028526625357965_ZTF18acvwlqq
ZTF18aahwtws,185.52321505548392,8.046192610350673,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028526711341117_ZTF18aahwtws
ZTF18aajomfh,186.31456585447407,8.37304419644512,,,,,,,DSCT,HADS,DSCT,VSX,False,DSCT,False,170028526718156874_ZTF18aajomfh
ZTF22aadplih,186.3374039116452,8.288705249279857,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526718156887_ZTF22aadplih
ZTF17aabxpvk,186.35713467939394,8.221894476305668,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526719729676_ZTF17aabxpvk
ZTF26aabkaxo,187.7028091,7.2304739,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028526766391337_ZTF26aabkaxo
ZTF17aackhpm,187.8796209393609,7.249898870925849,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028526786838607_ZTF17aackhpm
ZTF17aabxpby,188.0778808829278,7.252133600832474,,,,,,,RRL,RRC,RRL,VSX,False,RRL,False,170028526787362930_ZTF17aabxpby
ZTF19aadfwij,187.36589798642294,8.10848595949965,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170028526897987720_ZTF19aadfwij
ZTF18aahwtww,185.55764831809228,8.637715035139353,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028526985543774_ZTF18aahwtww
ZTF21aafkjya,186.3147128116647,8.817736133749003,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527007563803_ZTF21aafkjya
ZTF18aabpiyn,187.1246020510057,8.417542905923867,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028527032205382_ZTF18aabpiyn
ZTF19aaapvhh,187.00160882771812,7.428335779032732,,,QSO,QSO,QSO,QR2,,,QSO,SIMBAD,False,QSO|QSO,False,170028527050555483_ZTF19aaapvhh
ZTF19aapzbmx,187.68987825363888,6.748224284366577,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527204171869_ZTF19aapzbmx
ZTF19aailytw,186.37640837596626,8.417753322449238,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527277572100_ZTF19aailytw
ZTF23aafkqlj,187.13663026831412,8.283355185242332,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527300116610_ZTF23aafkqlj
ZTF18acvwluj,187.40405673426503,6.917841077378568,,,AGN,Sy1,AGN,A,,,AGN,SIMBAD,False,AGN|AGN,False,170028527322136648_ZTF18acvwluj
ZTF21aajviuk,187.55595196495477,7.23187550291753,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527322660878_ZTF21aajviuk
ZTF18aabpyzi,187.75432188703093,8.056823642735703,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028527324233872_ZTF18aabpyzi
ZTF18aapiahe,188.03325447425615,6.813336128279804,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028527339962469_ZTF18aapiahe
ZTF18aaqpocm,187.52972535615302,6.394740451154744,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170028527469461831_ZTF18aaqpocm
ZTF22aaczcyw,187.6506550272046,6.906724348257947,,,QSO,QSO,QSO,QR2,,,QSO,SIMBAD,False,QSO|QSO,False,170028527472083070_ZTF22aaczcyw
ZTF19aagthsq,186.39557178077436,7.507081811945937,,,AGN,Sy2,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170028527566979161_ZTF19aagthsq
ZTF22aacttai,185.63084827868778,7.466087608056152,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527803957353_ZTF22aacttai
ZTF23aafplho,186.87925145402434,8.463770849497875,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527837511709_ZTF23aafplho
ZTF24aaivopz,188.05646289316377,7.738416384390026,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028527997943909_ZTF24aaivopz
ZTF18aaphzsx,186.86238921790016,7.813868058334317,,,,,,,RRL,RRAB/BL,RRL,VSX,False,RRL,False,170028528487104565_ZTF18aaphzsx
ZTF19adgednf,186.94474188537765,7.256710722675876,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028528505454638_ZTF19adgednf
ZTF21aaeotdq,187.56432184850956,6.219607088454279,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028528545824817_ZTF21aaeotdq
ZTF22acaukhl,187.99387746757546,6.994527703657117,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028528801677394_ZTF22acaukhl
ZTF18aaphzut,187.32327291137403,6.341135856342023,SNIa,SN Ia,,,,,,,SNIa,TNS,False,SNIa,False,170028528947953683_ZTF18aaphzut
ZTF18aayfceh,187.41885360228346,8.015912489707897,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028529182834741_ZTF18aayfceh
ZTF21aasgtrz,185.75406733418703,7.250845379469436,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028529686151254_ZTF21aasgtrz
ZTF19adcgcaq,185.6791771847597,8.897425107959656,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028530363531287_ZTF19adcgcaq
ZTF18acwyudn,187.70039237529352,8.517279081455255,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028530413862976_ZTF18acwyudn
ZTF24aaivnno,186.27382255626222,6.269827503014844,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028530911937416_ZTF24aaivnno
ZTF18acvgvjj,186.45999313576243,7.584773495519408,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028532667252850_ZTF18acvgvjj
ZTF18aayqqod,185.95783696316118,8.944095823993903,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170028535124590701_ZTF18aayqqod
ZTF17aabtygh,186.45281162367462,8.920876027094428,,,,,,,RRL,RRC,RRL,VSX,False,RRL,False,170028538463780891_ZTF17aabtygh
ZTF18aalqlka,184.88537636567727,7.895892064992989,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170028538550812711_ZTF18aalqlka
ZTF25aadnokl,151.3386154800775,1.6039616224227031,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170032900281991230_ZTF25aadnokl
ZTF18aaxzgzl,186.54680185481558,7.667069084687255,,,AGN,Sy2,AGN,A,,,AGN,SIMBAD,False,AGN|AGN,False,170032915970785353_ZTF18aaxzgzl
ZTF17aaapviu,185.26100966292452,8.425080426386133,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170032916042088576_ZTF17aaapviu
ZTF18aatfeos,186.61772611512376,9.019617946526521,,,AGN,LIN,AGN,ARX,,,AGN,SIMBAD,False,AGN|AGN,False,170032917135753222_ZTF18aatfeos
ZTF20aaozero,187.85787605029648,8.057642386145066,,,AGN,Sy1,AGN,A,,,AGN,SIMBAD,False,AGN|AGN,False,170032917183463634_ZTF20aaozero
ZTF18aaqeemh,188.20096039059132,7.514553191174404,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170032917454520392_ZTF18aaqeemh
ZTF19aaoziye,188.18684004585967,6.498383571572426,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170032919333568594_ZTF19aaoziye
ZTF26aalsmpp,185.02543772523725,8.410128515291508,SNIbc,SN Ic-BL,,,,,,,SNIbc,TNS,False,SNIbc,False,170032920491197107_ZTF26aalsmpp
ZTF18aaqdgkd,187.33961531441685,8.784415546221336,,,,,,,LPV,SR,LPV,VSX,False,LPV,False,170032921209995355_ZTF18aaqdgkd
ZTF18abalpmf,188.1493307642696,6.0527898659217065,,,AGN,Sy1,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170032927400263837_ZTF18abalpmf
ZTF23abttyka,148.7619139,1.9646874000000003,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170046091649089715_ZTF23abttyka
ZTF20acymaeh,148.85934486538463,1.7809300884615384,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170046091661148334_ZTF20acymaeh
ZTF19aadevks,149.872794626884,3.1837836417979464,,,AGN,Sy1,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170046091675828358_ZTF19aadevks
ZTF22abtbpgq,149.55453422724005,0.8880650959240689,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170046091685265477_ZTF22abtbpgq
ZTF19adcdtdj,150.10524135058412,1.981154823934472,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170046091691032676_ZTF19adcdtdj
ZTF20acxzjzo,150.68895352389225,3.5904390655106027,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170046091792744717_ZTF20acxzjzo
ZTF21aahpuqn,148.71615099430994,1.8590968885006613,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170046092051742878_ZTF21aahpuqn
ZTF25aadycvj,150.0371392571433,2.2445841285714283,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170046093438484604_ZTF25aadycvj
ZTF21aakgypx,151.6444633999998,1.5762157000001202,,,E,EB*,,,,,E,SIMBAD,False,E,False,170046096037380198_ZTF21aakgypx
ZTF26aatktdb,186.1475108044402,7.728056986196391,SNIa,SN Ia,,,,,,,SNIa,TNS,False,SNIa,False,170046107510898689_ZTF26aatktdb
ZTF22aapqoit,187.82843525041196,8.387591773998091,,,AGN,Sy1,AGN,A,,,AGN,SIMBAD,False,AGN|AGN,False,170046107812888656_ZTF22aapqoit
ZTF18aajomxu,188.1022313271952,8.061004113747886,,,E,EB*,,,,,E,SIMBAD,False,E,False,170046111950045244_ZTF18aajomxu
ZTF21aaqytjr,186.42366472294748,7.228396398081238,SNIa,SN Ia,,,,,,,SNIa,TNS,False,SNIa,False,170046116124426314_ZTF21aaqytjr
ZTF17aaaoyzd,150.09076567367904,1.2796105067804746,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170046118645727258_ZTF17aaaoyzd
ZTF20aadxtcp,185.7868596040279,9.249886013973121,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170050533130240451_ZTF20aadxtcp
ZTF21aawdube,185.7070823276555,9.295231069004231,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170050533130240515_ZTF21aawdube
ZTF18aaihogr,185.68269974995673,9.141300314723487,,,,,,,DSCT,HADS,DSCT,VSX,False,DSCT,False,170050533130240526_ZTF18aaihogr
ZTF18adirlog,186.3873626363358,9.269334062141985,,,E,EB*,,,E,EW,E,SIMBAD,False,E|E,False,170050533137580152_ZTF18adirlog
ZTF18aaxqnqs,186.65891593225246,9.569107793548385,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170050533138628729_ZTF18aaxqnqs
ZTF18aakkqbj,187.04745581737427,9.857389691913676,,,AGN,Sy1,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170050533217272329_ZTF18aakkqbj
ZTF20aahgunv,187.3560868225378,10.063339495948057,,,QSO,QSO,QSO,Q,,,QSO,SIMBAD,False,QSO|QSO,False,170050533221467866_ZTF20aahgunv
ZTF19aalauos,187.57662724395448,10.035778664185223,,,AGN,Sy1,AGN,AX,,,AGN,SIMBAD,False,AGN|AGN,False,170050533223039672_ZTF19aalauos
ZTF20aapakam,188.3732867005613,9.421698713268915,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170050533248729175_ZTF20aapakam
ZTF19aarnkcu,188.35879814784226,9.433010378775624,,,QSO,QSO,QSO,QX,,,QSO,SIMBAD,False,QSO|QSO,False,170050533248729231_ZTF19aarnkcu
ZTF18aabpzav,188.52686464116775,8.92166110024626,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170050533265506387_ZTF18aabpzav
ZTF18aakkrip,188.98804831220758,9.094455570205934,,,E,RR*,,,E,EW,E,SIMBAD,False,E|E,False,170050533268127970_ZTF18aakkrip
ZTF18aahwwfl,188.2988991904418,7.8515573978433935,,,AGN,LIN,,,,,AGN,SIMBAD,False,AGN,False,170050543248474146_ZTF18aahwwfl
ZTF18aahvdij,188.7505095721702,8.202181150557992,,,,,,,RRL,RRAB,RRL,VSX,False,RRL,False,170050543249522853_ZTF18aahvdij
